Site ID,Latitude,Longitude
FOP1,35.23833466,-97.45999908
KABR,45.45583344,-98.41333008
KABX,35.14972305,-106.8238907
KAKQ,36.98405075,-77.00736237
KAMA,35.23333359,-101.7092743
KAMX,25.61108398,-80.41266632
KAPX,44.90634918,-84.71953583
KARX,43.82277679,-91.1911087
KATX,48.1946106,-122.495697
KBBX,39.4956398,-121.6316147
KBGM,42.19969559,-75.98472595
KBHX,40.49858475,-124.2921677
KBIS,46.77083206,-100.7605591
KBLX,45.85377884,-108.6068039
KBMX,33.17241669,-86.77016449
KBOX,41.95577621,-71.13686371
KBRO,25.91600037,-97.4189682
KBUF,42.94878769,-78.73677826
KBYX,24.59749985,-81.70316315
KCAE,33.94872284,-81.1182785
KCBW,46.03924942,-67.806427
KCBX,43.4902153,-116.2360306
KCCX,40.92316818,-78.00372314
KCLE,41.41321564,-81.85986328
KCLX,32.65552902,-81.04219818
KCRP,27.78401756,-97.51125336
KCXX,44.51100159,-73.16642761
KCYS,41.15192032,-104.8060303
KDAX,38.50111008,-121.6778336
KDDC,37.76083374,-99.96888733
KDFX,29.27313805,-100.2803345
KDGX,32.27994537,-89.98444366
KDIX,39.94709015,-74.41072845
KDLH,46.83694458,-92.20972443
KDMX,41.73120117,-93.72286987
KDOX,38.82576752,-75.44011688
KDTX,42.70000076,-83.47166443
KDVN,41.61166763,-90.58083344
KDYX,32.53850174,-99.2543335
KEAX,38.81024933,-94.26447296
KEMX,31.89365005,-110.630249
KENX,42.58655548,-74.06408691
KEOX,31.46055603,-85.45938873
KEPZ,31.87305641,-106.697998
KESX,35.70135117,-114.8916473
KEVX,30.56503296,-85.92166901
KEWX,29.70405579,-98.02861023
KEYX,35.0978508,-117.5607529
KFCX,37.0243988,-80.27397156
KFDR,34.36219406,-98.97666931
KFDX,34.63416672,-103.6188889
KFFC,33.36354828,-84.56594849
KFSD,43.58777618,-96.72944641
KFSX,34.57433319,-111.1984482
KFTG,39.78664017,-104.5458069
KFWS,32.57300186,-97.30314636
KGGW,48.20635986,-106.6246948
KGJX,39.06216812,-108.2137604
KGLD,39.36694336,-101.7002792
KGRB,44.49863434,-88.1111145
KGRK,30.72183418,-97.3829422
KGRR,42.89389038,-85.54489136
KGSP,34.8833046,-82.21983337
KGWX,33.89691544,-88.32919312
KGYX,43.89130402,-70.25636292
KHDX,33.07699966,-106.1200333
KHGX,29.47190094,-95.07873535
KHNX,36.31418228,-119.6321411
KHPX,36.73697281,-87.2855835
KHTX,34.93055725,-86.08361053
KICT,37.65444565,-97.4430542
KICX,37.59104919,-112.8621826
KILN,39.42048264,-83.82144928
KILX,40.15050125,-89.33679199
KIND,39.70750046,-86.28028107
KINX,36.17512894,-95.56416321
KIWA,33.28923416,-111.6699142
KIWX,41.35861206,-85.69999695
KJAX,30.48463249,-81.70189667
KJGX,32.67568207,-83.35083008
KJKL,37.59083176,-83.31305695
KLBB,33.65414047,-101.8141632
KLCH,30.12530518,-93.21588898
KLCH,30.12530518,-93.21588898
KLGX,47.11694336,-124.1066666
KLIX,30.33666611,-89.82541656
KLNX,41.95794296,-100.5762253
KLOT,41.6044426,-88.08444214
KLRX,40.73955154,-116.8026962
KLSX,38.69861221,-90.6827774
KLTX,33.989151,-78.42910767
KLVX,37.97527695,-85.9438858
KLWX,38.97611237,-77.48750305
KLZK,34.83649826,-92.26219177
KMAF,31.94346046,-102.1892471
KMAX,42.08116913,-122.7173691
KMBX,48.39305496,-100.8644409
KMHX,34.77590942,-76.87619019
KMKX,42.96789932,-88.55066681
KMLB,28.11319351,-80.65408325
KMOB,30.67944527,-88.23999786
KMPX,44.8488884,-93.56552887
KMQT,46.53111267,-87.54833221
KMRX,36.16860962,-83.40194702
KMSX,47.04100037,-113.9862213
KMTX,41.26277924,-112.4477768
KMUX,37.15522385,-121.8984451
KMVX,47.52777863,-97.32555389
KMXX,32.53665161,-85.78974915
KNKX,32.91901779,-117.0418015
KNQA,35.34472275,-89.87333679
KOAX,41.32036972,-96.36682129
KOHX,36.2472229,-86.5625
KOKX,40.86552811,-72.86391449
KOTX,47.68041611,-117.6267776
KOUN,35.23583221,-97.46221924
KPAH,37.06833267,-88.77194214
KPBZ,40.53171539,-80.21796417
KPDT,45.69065094,-118.8529282
KPOE,31.15527725,-92.97611237
KPUX,38.45954895,-104.1813507
KRAX,35.66551971,-78.48975372
KRGX,39.75405502,-119.4620285
KRIW,43.06608963,-108.4773026
KRLX,38.31111145,-81.72277832
KRTX,45.7150383,-122.9649963
KSFX,43.10559845,-112.6861343
KSGF,37.23523712,-93.40042114
KSHV,32.45083237,-93.84124756
KSJT,31.37127686,-100.4925003
KSOX,33.81773376,-117.6360016
KSRX,35.29041672,-94.3618927
KTBW,27.70549965,-82.40177917
KTFX,47.45958328,-111.3853302
KTLH,30.39758301,-84.32894135
KTLX,35.33336258,-97.27776337
KTWX,38.99694824,-96.23255157
KTYX,43.75569534,-75.67986298
KUDX,44.12472153,-102.8300018
KUEX,40.32083511,-98.44194794
KVAX,30.89027786,-83.00180817
KVBX,34.83855057,-120.3979187
KVNX,36.74061584,-98.12771606
KVTX,34.41201782,-119.1787491
KVWX,38.26025009,-87.72452545
KYUX,32.49528122,-114.6567078
PABC,60.7919426,-161.8763885
PACG,56.85277939,-135.5291595
PAEC,64.51139069,-165.2949982
PAHG,60.725914,-151.3514709
PAKC,58.67944336,-156.6294403
PAPD,65.03511047,-147.5014343
PHKI,21.89388847,-159.5525055
PHKM,20.12527847,-155.777771
PHMO,21.13277817,-157.1802826
PHWA,19.09499931,-155.5688934
RKJK,35.92416763,126.6222229
RKSG,37.20756912,127.2855606
RODN,26.30780029,127.9034729
TJUA,18.2563,-65.6382
